"GeneA","GeneB"
"TSPAN6","TNFRSF17"
"TSPAN6","DDX58"
"TSPAN6","VNN2"
"TSPAN6","IFIH1"
"TSPAN6","LRIF1"
"TSPAN6","CDS1"
"TSPAN6","EVA1C"
"TSPAN6","CHD3"
"TSPAN6","TMEM173"
"FGR","PLAUR"
"FGR","ALOX5"
"FGR","HSP90AA1"
"FGR","CSK"
"FGR","MET"
"FGR","VDR"
"FGR","SLAMF1"
"FGR","ABI1"
"FGR","ARRB1"
"FGR","ERBB2"
"FGR","SNCA"
"FGR","EGFR"
"FGR","KIT"
"FGR","SYK"
"FGR","PTK2"
"FGR","HCLS1"
"FGR","SRC"
"CFH","SLC25A13"
"CFH","CROT"
"CFH","JARID2"
"CFH","PRSS3"
"CFH","AGA"
"CFH","AP1M1"
"CFH","ITGB5"
"CFH","ATRX"
"CFH","TFAP2C"
"CFH","CDC45"
"CFH","GRAP2"
"CFH","DICER1"
"CFH","CST3"
"CFH","TSC22D1"
"CFH","IGDCC4"
"CFH","SLC1A5"
"CFH","BBC3"
"CFH","SETX"
"CFH","APOC3"
"CFH","VDR"
"CFH","FN1"
"CFH","RLF"
"CFH","CR2"
"CFH","APOA1"
"CFH","TTR"
"CFH","OBSL1"
"CFH","TTPAL"
"CFH","NCOA3"
"CFH","C3"
"CFH","APOE"
"CFH","APOC1"
"CFH","SH3BP5"
"CFH","AMPD3"
"CFH","CABLES1"
"CFH","CTSL"
"CFH","DERL1"
"CFH","THBS1"
"CFH","CLCA2"
"CFH","AHSG"
"CFH","GSN"
"CFH","ADM"
"CFH","SERPING1"
"CFH","ATM"
"CFH","SACS"
"CFH","RANBP2"
"CFH","KCNMA1"
"CFH","TIAM1"
"CFH","PCDH1"
"CFH","APOA2"
"CFH","ALB"
"CFH","PTX3"
"CFH","PPBP"
"CFH","CDCP1"
"CFH","ITGA2"
"CFH","KRT1"
"CFH","ZNF232"
"CFH","KRT13"
"CFH","FGA"
"CFH","TLN2"
"CFH","ADGRG2"
"CFH","KIAA1551"
"CFH","GRB2"
"CFH","PCED1B"
"CFH","F2"
"CFH","PDE4B"
"CFH","KRT6B"
"CFH","KRT5"
"CFH","KRT10"
"CFH","KRT14"
"CFH","SELL"
"CFH","ZNF292"
"CFH","CFD"
"CFH","MYL4"
"CFH","CFI"
"CFH","KRT6A"
